Alemão,Português
ich,EU
sie,ela
das,o
du,você
nicht,não
die,o
es,isto
und,e
der,o
wir,nós
was,O que
zu,para
er,ele
ein,a
in,em
ja,Sim
mir,para mim
mit,com
wie,Como
den,o
mich,meu
auf,sobre
dass,que
aber,mas
eine,um
so,então
hat,tem
hier,aqui
haben,ter
für,para
sind,são
war,era
von,de
wenn,se
dich,você
ihr,dela
nein,não
habe,ter
an,no
bin,sou
noch,ainda
nur,apenas
da,lá
dir,para você
sich,em si
einen,a
uns,nós
hast,ter
dem,para o
kann,pode
gut,bom
auch,também
schon,já
als,como
sein,ser
mal,apenas
jetzt,agora
ihn,ele
dann,então
aus,fora de
meine,pensar
um,em volta
im,no
wird,torna-se
mein,meu
bist,você é
doch,mas
alles,tudo
weiß,branco
keine,não
oder,ou
nach,depois
s,S
nichts,nada
man,homem
muss,deve
werden,tornar-se
will,querer
ihnen,eles
geht,vai
wo,onde
etwas,algo
oh,Oh
mehr,mais
bei,no
also,então
bitte,por favor
immer,sempre
hab,ter
warum,Por que
vor,antes
los,Vamos
können,pode
wieder,de novo
sagen,dizer
machen,fazer
danke,Obrigado
sehr,muito
alle,todos
denn,então
mann,homem
tun,fazer
ihm,ele
zum,para o
gehen,ir
sehen,ver
vielleicht,talvez
einem,a
wer,Quem
ihre,dela
diese,esse
euch,você
einer,um
komm,vir
über,acima
gibt,dá
okay,OK
wissen,conhecimento
deine,seu
müssen,deve
soll,deve
werde,tornar-se
nie,nunca
wirklich,realmente
hey,ei
kein,não
viel,muito
weg,ausente
würde,seria
tut,faz
am,no
des,de
einfach,simplesmente
leben,vida
hatte,tive
zeit,tempo
weil,porque
willst,querer
kommen,vir
dein,seu
heute,hoje
kommt,vem
wollen,querer
damit,com isso
ganz,bastante
wäre,eram
wollte,desejado
weißt,branco
ok,OK
sicher,seguro
gesagt,disse
frau,mulher
nun,então
bis,até
wurde,tornou-se
leid,tristeza
na,n / D
kannst,pode
macht,poder
dieser,esse
zurück,retornar
lassen,permitir
hallo,Olá
meinen,pensar
gott,Deus
seine,dele
hätte,tive
zwei,dois
könnte,poderia
genau,Exatamente
waren,eram
zur,para o
lass,deixar
klar,claro
morgen,manhã
leute,pessoas
vater,pai
schön,legal
glaube,acreditar
mr.,senhor.
ab,ausente
gerade,direto
tag,Dia
gesehen,visto
reden,falar
wohl,provavelmente
liebe,amor
sollte,deve
sagte,disse
unsere,nosso
jemand,alguém
geld,dinheiro
durch,através
ob,se
keinen,não
mutter,mãe
raus,fora
gemacht,feito
paar,par
mach,fazer
passiert,acontece
dachte,pensamento
besser,melhorar
musst,deve
wieso,Por quê
sir,senhor
dieses,esse
selbst,auto
gehört,ouviu
möchte,gostaria
ohne,sem
hör,audição
her,de
sag,dizer
meiner,meu
anderen,outros
helfen,ajuda
nacht,noite
finden,encontrar
diesen,esse
gute,bom
wirst,tornar-se
lange,anseio
natürlich,naturalmente
ach,Oh
meinem,meu
gar,até
ins,no
sei,talvez
dort,lá
weiter,avançar
geben,dar
seit,desde
gleich,até
sagt,diz
recht,certo
ihren,seu
richtig,correto
ordnung,ordem
vom,de
hören,ouvir
sieht,vê
davon,por essa
dafür,por esta
geh,andar
diesem,esse
wegen,por causa de
hause,lar
sollten,deve
mädchen,garota
hin,lá
sollen,deve
abend,noite
haus,uma casa
denke,pensar
viele,muitos
drei,três
deinen,seu
freund,amigo
guten,bom
unser,nosso
warte,espere
machst,fazer
menschen,pessoas
essen,comer
angst,temer
bleiben,permanecer
zusammen,junto
welt,mundo
unter,sob
habt,ter
schnell,rápido
andere,outro
tot,morto
getan,fez
darf,poderia
erst,primeiro
rein,puro
stimmt,está correto
nehmen,pegar
kinder,crianças
eines,um
glauben,acreditar
bringen,trazer
ganze,inteiro
genug,suficiente
scheiße,Porra
brauchen,precisar
gegen,contra
moment,momento
junge,jovem
steht,Stands
sonst,de outra forma
musik,música
arbeit,trabalhar
seid,são
ihrer,deles
fragen,questões
herr,Senhor
dabei,incluído
heißt,é chamado
familie,família
warten,espere
niemand,ninguém
sofort,imediatamente
bevor,antes
jahre,anos
einmal,uma vez
problem,problema
sohn,filho
wann,Quando
brauche,precisar
fertig,completo
halt,apenas
allein,sozinho
beim,no
sprechen,falar
beide,ambos
gefunden,encontrado
hatten,tive
sache,matéria
hilfe,ajuda
verdammt,condenado
ne,ne
jeder,todos
warst,seres
gern,de bom grado
konnte,poderia
darüber,sobre isso
halten,segurar
siehst,ver
verstehe,entender
jahren,anos
kam,veio
kind,criança
wusste,sabia
wahr,verdadeiro
seinen,dele
dazu,além disso
bruder,irmão
daran,para isso
ihrem,dela
denken,pensar
könnten,poder
dank,graças a
würden,seria
lieber,Querido
fall,caso
deiner,seu
sehe,ver
egal,Não importa
kennen,saber
deinem,seu
vergessen,esquecer
frage,perguntar
mache,fazer
komme,vir
sage,lenda
mag,como
sieh,ver
echt,Realmente
gib,dar
eigentlich,na verdade
jeden,todo
dad,pai
gab,deu
uhr,relógio
stadt,cidade
männer,homens
baby,infantil
fahren,dirigir
namen,nomes
bekommen,receber
kopf,cabeça
hi,Oi
gehe,ir
kleine,pequeno
später,mais tarde
glück,felicidade
letzte,durar
freunde,amigos
n,n
all,Alles
darauf,nele
ende,fim
dr.,Dr.
bald,breve
töten,matar
dinge,coisas
meinst,significar
toll,Ótimo
eins,um
minuten,minuto
vielen,muitos
bereit,preparar
weit,distante
ahnung,ideia
seiner,dele
bisschen,um pouco
tür,porta
auto,automóvel
jungs,pessoal
eure,seu
augen,olhos
polizei,polícia
stehen,ficar
sterben,morrer
hätten,ter
draußen,fora
kenne,saber
fast,aproximadamente
runter,abaixo
vorbei,sobre
treffen,encontrar
gerne,de bom grado
dran,sua vez
wurden,tornou-se
arbeiten,trabalhar
mom,mãe
verrückt,louco
neue,novo
ging,foi
hinter,atrás
sorgen,cuidar
einzige,apenas
jemanden,alguém
darum,portanto
tochter,filha
braucht,precisa
idee,ideia
schwester,irmã
drin,iniciar
ruhig,quieto
sah,serra
ganzen,inteiro
spät,tarde
ziemlich,bastante
solltest,deve
name,Sobrenome
sogar,até
kurz,curto
kerl,Cara
frauen,mulheres
liegt,mentiras
suchen,procurar
finde,encontrar
je,sempre
woher,de onde
lang,longo
job,trabalho
keiner,nenhum
seinem,dele
hört,ouvir
verstehen,entender
spielen,jogar
s.,s.
überhaupt,de forma alguma
teufel,diabo
verstanden,entendido
verloren,perdido
große,tamanho
hand,mão
grund,chão
jahr,ano
kommst,vir
mama,mamãe
ruhe,quieto
gewesen,estive
tod,morte
stunden,horas
hoffe,ter esperança
denkst,pensamento
oben,acima
gestern,ontem
versuchen,tentar
art,tipo
letzten,durar
schatz,tesouro
endlich,finalmente
he,ei
nimm,pegar
etwa,aproximadamente
erzählt,contado
läuft,corre
schwer,difícil
anders,diferente
miss,perder
musste,tive
fünf,cinco
wasser,água
lässt,folhas
erste,primeiro
versucht,testado
gekommen,veio
geschichte,história
wenig,alguns
holen,buscar
bedeutet,significa
nett,tipo
wahrheit,verdade
woche,semana
bringt,traz
deshalb,por esta razão
welche,qual
bestimmt,certamente
hoch,alto
alter,idade
sagst,dizer
schau,olhar
ah,Ah
land,país
zimmer,sala
wagen,carro 
vier,quatro
gefallen,por favor
spaß,diversão
niemals,nunca
schuld,falta
getötet,morto
wollten,queria
verlassen,deixar
zeigen,mostrar
beste,melhor
ernst,sério
unserer,nosso
denen,a quem
ort,localização
bleibt,restos
würdest,seria
manchmal,às vezes
glaubst,acreditar
seite,página
lasst,folhas
zwischen,entre
eben,até
während,enquanto
spiel,jogo
nehme,pegar
ersten,primeiro
guter,bens
chance,chance
freundin,namorada
krieg,guerra
gefällt,bom
kleinen,pequeno
erzählen,dizer
anderes,outro
tage,dias
entschuldigen,desculpa
wichtig,importante
gehst,andando
allen,todos
bett,cama
mrs.,Sra.
sachen,coisas
the,o
schlecht,ruim
schule,escola
entschuldigung,desculpa
wort,palavra
john,John
hättest,teria
wären,ser
typ,Tipo
schlafen,dormir
äh,Ah
tu,tu
euer,seu
captain,capitão
gesicht,face
falls,se
neuen,novo
bloß,apenas
unten,abaixo
teil,papel
beiden,ambos
mensch,pessoa
kleiner,menor
stellen,lugar
oft,muitas vezes
sorge,preocupações
gedacht,pensamento
tust,Tust
trinken,bebida
einige,alguns
dies,esse
ding,coisa
unseren,nosso
kriegen,pegar
blut,sangue
ehrlich,honesto
eltern,pais
scheint,parece
herz,coração
jack,Jack
glücklich,feliz
alte,velho
alt,velho
bleib,ficar
wiedersehen,reunir
frei,livre
wen,a quem
drauf,nele
möglich,possível
irgendwie,de alguma forma
reicht,basta
fest,firmemente
besten,melhor
waffe,arma
kaum,por muito pouco
irgendwas,qualquer coisa
klingt,sons
platz,lugar
brauchst,precisa
rede,discurso
papa,pai
falsch,incorreta
sondern,em vez de
alten,velho
nummer,número
früher,mais cedo
jungen,Rapazes
wohin,para onde
außer,exceto
früh,cedo
setzen,definir
zuerst,primeiro
wahrscheinlich,provavelmente
dürfen,poderia
jede,todo
arsch,bunda
telefon,telefone
tue,fazer
kennst,saber
willkommen,Bem-vindo
plan,plano
großen,enorme
retten,resgatar
hierher,aqui
wär,seria
bring,trazer
fehler,erro
wollt,querer
dollar,dólar
zehn,dez
allem,todos
pass,Passaporte
nächste,próximo
stunde,hora
hände,mãos
gegeben,dado
menge,multidão
langsam,lento
bereits,já
wartet,esperando
sechs,seis
lieben,amor
meines,meu
büro,escritório
nächsten,próximo
gebe,presente
wochen,semanas
ruf,chamar
schaffen,criar
leider,infelizmente
scheiß,merda
hölle,inferno
trotzdem,Apesar disso
doktor,doutor
tja,bem
new,novo
voll,completo
film,Filme
überall,geral
hund,cachorro
geworden,tornar-se
direkt,direto
wolltest,desejado
tat,fez
denkt,acha
schiff,enviar
neues,novo
wem,a quem
könig,rei
